Corr_Threshold,Cum_Threshold,Combo_Label,Model,Num_Features,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,F1_Macro,F1_Macro_CI_Lower,F1_Macro_CI_Upper,F1_Weighted,F1_Weighted_CI_Lower,F1_Weighted_CI_Upper,Precision_Macro,Precision_Macro_CI_Lower,Precision_Macro_CI_Upper,Recall_Macro,Recall_Macro_CI_Lower,Recall_Macro_CI_Upper,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold
0.70,0.800000,Corr70_Cum80,KNN,23,0.901961,0.823529,0.980392,0.893256,0.789737,0.976720,0.899609,0.808703,0.980118,0.919841,0.838380,0.981528,0.884400,0.784298,0.977796,0.904269,0.075835,1.000000
0.70,0.800000,Corr70_Cum80,SVM,23,0.921569,0.843137,0.980392,0.922399,0.836423,0.983102,0.922191,0.844359,0.980613,0.927690,0.852143,0.988506,0.919365,0.824290,0.988889,0.902824,0.059538,1.000000
0.70,0.800000,Corr70_Cum80,MLP,23,0.960784,0.901961,1.000000,0.959436,0.889609,1.000000,0.960681,0.899696,1.000000,0.963845,0.901147,1.000000,0.957351,0.880931,1.000000,0.884239,0.081849,1.000000
0.70,0.800000,Corr70_Cum80,LightGBM,23,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.929692,0.082169,1.000000
0.70,0.850000,Corr70_Cum85,KNN,27,0.882353,0.784314,0.960784,0.885253,0.775441,0.966330,0.882876,0.783818,0.961154,0.876773,0.771010,0.964912,0.907969,0.817890,0.974359,0.908255,0.040246,1.000000
0.70,0.850000,Corr70_Cum85,SVM,27,0.941176,0.882353,1.000000,0.941450,0.862107,1.000000,0.941555,0.877982,1.000000,0.942735,0.872153,1.000000,0.945006,0.870368,1.000000,0.928211,0.037097,1.000000
0.70,0.850000,Corr70_Cum85,MLP,27,0.862745,0.764706,0.941667,0.862514,0.749982,0.948828,0.863848,0.760899,0.944096,0.880952,0.792828,0.962900,0.851075,0.735037,0.956966,0.914675,0.052614,1.000000
0.70,0.850000,Corr70_Cum85,LightGBM,27,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.932550,0.059337,1.000000
0.70,0.900000,Corr70_Cum90,KNN,32,0.941176,0.862745,1.000000,0.938483,0.858352,1.000000,0.940985,0.864519,1.000000,0.933067,0.846289,1.000000,0.945006,0.869039,1.000000,0.922286,0.052521,1.000000
0.70,0.900000,Corr70_Cum90,SVM,32,0.921569,0.843137,0.980392,0.917216,0.817580,0.983325,0.921008,0.837430,0.980595,0.939876,0.865115,0.990196,0.901407,0.790451,0.988889,0.927453,0.047598,1.000000
0.70,0.900000,Corr70_Cum90,MLP,32,0.921569,0.843137,0.980392,0.917216,0.817580,0.983325,0.921008,0.837430,0.980595,0.939876,0.865115,0.990196,0.901407,0.790451,0.988889,0.917580,0.058561,1.000000
