Threshold,Model,Num_Features,Selection_Method,Optimization,Accuracy,Accuracy_CI,F1_Macro,F1_Macro_CI,F1_Weighted,Precision_Macro,Recall_Macro,CV_F1_Mean,CV_F1_Std,CV_F1_Best_Fold
80%,KNN,57,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9020,"[0.8039, 0.9804]",0.8958,"[0.7875, 0.9733]",0.9025,0.9037,0.8891,0.9445,0.0486,1.0000
80%,SVM,28,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9608,"[0.9020, 1.0000]",0.9548,"[0.8637, 1.0000]",0.9595,0.9770,0.9394,0.9195,0.0472,1.0000
80%,MLP,25,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9608,"[0.9020, 1.0000]",0.9548,"[0.8637, 1.0000]",0.9595,0.9770,0.9394,0.9131,0.0702,1.0000
80%,LightGBM,51,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9608,"[0.9020, 1.0000]",0.9594,"[0.8896, 1.0000]",0.9607,0.9638,0.9574,0.9530,0.0380,1.0000
85%,KNN,67,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9412,"[0.8627, 1.0000]",0.9377,"[0.8576, 1.0000]",0.9419,0.9316,0.9450,0.9442,0.0383,1.0000
85%,SVM,34,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9608,"[0.9020, 1.0000]",0.9574,"[0.8860, 1.0000]",0.9608,0.9574,0.9574,0.9317,0.0443,1.0000
85%,MLP,31,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9608,"[0.9020, 1.0000]",0.9574,"[0.8852, 1.0000]",0.9608,0.9574,0.9574,0.9256,0.0789,1.0000
85%,LightGBM,61,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9412,"[0.8627, 1.0000]",0.9385,"[0.8584, 1.0000]",0.9410,0.9331,0.9450,0.9504,0.0522,1.0000
90%,KNN,79,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9412,"[0.8627, 1.0000]",0.9342,"[0.8393, 1.0000]",0.9403,0.9429,0.9270,0.9442,0.0383,1.0000
90%,SVM,42,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9412,"[0.8819, 1.0000]",0.9227,"[0.8222, 1.0000]",0.9410,0.9325,0.9184,0.9105,0.0738,1.0000
90%,MLP,38,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9216,"[0.8431, 0.9804]",0.9182,"[0.8158, 0.9834]",0.9210,0.9309,0.9147,0.9137,0.0630,1.0000
90%,LightGBM,74,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9608,"[0.9020, 1.0000]",0.9594,"[0.8896, 1.0000]",0.9607,0.9638,0.9574,0.9434,0.0303,1.0000
95%,KNN,95,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9412,"[0.8627, 1.0000]",0.9377,"[0.8576, 1.0000]",0.9419,0.9316,0.9450,0.9438,0.0440,1.0000
95%,SVM,56,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9412,"[0.8627, 1.0000]",0.9271,"[0.8337, 1.0000]",0.9401,0.9437,0.9138,0.9120,0.0708,1.0000
95%,MLP,51,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9412,"[0.8627, 1.0000]",0.9385,"[0.8547, 1.0000]",0.9410,0.9331,0.9450,0.9338,0.0564,1.0000
95%,LightGBM,93,ModelSpecific_SHAP,Optuna TPE (50 trials),0.9608,"[0.9020, 1.0000]",0.9594,"[0.8896, 1.0000]",0.9607,0.9638,0.9574,0.9485,0.0414,1.0000
